Ticker;Name;Industry;Sub Industry;Headquarters Location;Date added
WDC;Western Digital;Information Technology;Technology Hardware  Storage & Peripherals;San Jose  California;2009
WEC;WEC Energy Group;Utilities;Electric Utilities;Milwaukee, Wisconsin;2008
WELL;Welltower;Real Estate;Health Care REITs;Toledo, Ohio;2009
WFC;Wells Fargo;Financials;Diversified Banks;San Francisco, California;1976
WMB;Williams Companies;Energy;Oil & Gas Storage & Transportation;Tulsa, Oklahoma;1975
WMT;Walmart;Consumer Staples;Hypermarkets & Super Centers;Bentonville, Arkansas;1982
WRB;Berkley;Financials;Property & Casualty Insurance;Greenwich, Connecticut;2019
WST;West Pharmaceutical Services;Health Care;Health Care Supplies;Exton, Pennsylvania;2020
WTW;Willis Towers Watson;Financials;Insurance Brokers;London, United Kingdom;2016
WYNN;Wynn Resorts;Consumer Discretionary;Casinos & Gaming;Paradise, Nevada;2008
XEL;Xcel Energy;Utilities;Multi Utilities;Minneapolis, Minnesota;1957
XOM;ExxonMobil;Energy;Integrated Oil & Gas;Irving, Texas;1957
XRAY;Dentsply Sirona;Health Care;Health Care Supplies;Charlotte, North Carolina;2008
XYL;Xylem Inc;Industrials;Industrial Machinery;White Plains, New York;2011
YUM;Yum Brands;Consumer Discretionary;Restaurants;Louisville, Kentucky;1997
ZBH;Zimmer Biomet;Health Care;Health Care Equipment;Warsaw, Indiana;2001
ZBRA;Zebra Technologies;Information Technology;Electronic Equipment & Instruments;Lincolnshire, Illinois;2019
ZION;Zions Bancorporation;Financials;Regional Banks;Salt Lake City, Utah;2001
ZTS;Zoetis;Health Care;Pharmaceuticals;Parsippany, New Jersey;2013
