Name,Industry,Sub Industry,Headquarters Location,Date added,,,
PepsiCo,5,Soft Drinks,Purchase, New York,1957,,,
Pfizer,7,Pharmaceuticals,New York City, New York,1957,,,
Principal Financial Group,6,Life & Health Insurance,Des Moines, Iowa,2002,,,
Procter & Gamble,5,Personal Products,Cincinnati, Ohio,1957,,,
Progressive Corporation,6,Property & Casualty Insurance,Mayfield Village, Ohio,1997,,,
Parker Hannifin,8,Industrial Machinery,Cleveland, Ohio,1985,,,
PulteGroup,2,Homebuilding,Atlanta, Georgia,1984,,,
Packaging Corporation of America,10,Paper Packaging,Lake Forest, Illinois,2017,,,
PerkinElmer,7,Health Care Equipment,Waltham, Massachusetts,1985,,,
Prologis,11,Industrial REITs,San Francisco, California,2003,,,
Philip Morris International,5,Tobacco,New York City, New York,2008,,,
PNC Financial Services,6,Regional Banks,Pittsburgh, Pennsylvania,1988,,,
Pentair,8,Industrial Machinery,Worsley, United Kingdom,2012,,,
Pool Corporation,2,Distributors,Covington, Louisiana,2020,,,
PPG Industries,10,Specialty Chemicals,Pittsburgh, Pennsylvania,1957,,,
Prudential Financial,6,Life & Health Insurance,Newark, New Jersey,2002,,,
Public Storage,11,Specialized REITs,Glendale, California,2005,,,
Phillips 66,4,Oil & Gas Refining & Marketing,Houston, Texas,2012,,,
PTC,9,Application Software,Boston, Massachusetts,2021,,,
Quanta Services,8,Construction & Engineering,Houston, Texas,2009,,,
Pioneer Natural Resources,4,Oil & Gas Exploration & Production,Irving, Texas,2008,,,
PayPal,9,Data Processing & Outsourced Services,San Jose, California,2015,,,
Qorvo,9,Semiconductors,Greensboro, North Carolina,2015,,,
Royal Caribbean Group,2,Hotels  Resorts & Cruise Lines,Miami  Florida,2014,,,
Everest Re,6,Reinsurance,Hamilton, Bermuda,2017,,,
Regency Centers,11,Retail REITs,Jacksonville,  Florida,2017,,,
Regeneron,7,Biotechnology,Tarrytown, New York,2013,,,
Regions Financial Corporation,6,Regional Banks,Birmingham, Alabama,1998,,,
Robert Half,8,Human Resource & Employment Services,Menlo Park, California,2000,,,
Raymond James,6,Investment Banking & Brokerage,St  Petersburg, Florida,2017,,,
Ralph Lauren Corporation,2,Apparel  Accessories & Luxury Goods,New York City  New York,2007,,,
ResMed,7,Health Care Equipment,San Diego, California,2017,,,
Rollins Inc,8,Environmental & Facilities Services,Atlanta, Georgia,2018,,,
Roper Technologies,9,Electronic Equipment & Instruments,Sarasota, Florida,2009,,,
Ross Stores,2,Apparel Retail,Dublin, California,2009,,,
Republic Services,8,Environmental & Facilities Services,Phoenix, Arizona,2008,,,
SBA Communications,11,Specialized REITs,Boca Raton, Florida,2017,,,
Signature Bank,6,Regional Banks,New York City, New York,2021,,,
Starbucks,2,Restaurants,Seattle, Washington,2000,,,
Charles Schwab Corporation,6,Investment Banking & Brokerage,Westlake, Texas,1997,,,
SolarEdge,9,Semiconductor Equipment,Herzliya, Israel,2021,,,
Sealed Air,10,Paper Packaging,Charlotte, North Carolina,1957,,,
Sherwin Williams,10,Specialty Chemicals,Cleveland, Ohio,1964,,,
SVB Financial,6,Regional Banks,Santa Clara, California,2018,,,
The JM Smucker Company,5,Packaged Foods & Meats,Orrville, Ohio,2008,,,
Schlumberger,4,Oil & Gas Equipment & Services,CuraÃ§ao,  Kingdom of the Netherlands,1965,,,
Snap on,8,Industrial Machinery,Kenosha, Wisconsin,1982,,,
Synopsys,9,Application Software,Mountain View, California,2017,,,
Southern Company,12,Electric Utilities,Atlanta, Georgia,1957,,,
Simon Property Group,11,Retail REITs,Indianapolis, Indiana,2002,,,
Steris,7,Health Care Equipment,Dublin, Ireland,2019,,,
Steel Dynamics,10,Steel,Fort Wayne, Indiana,2022,,,
Seagate Technology,9,Technology Hardware  Storage & Peripherals,Dublin  Ireland,2012,,,
Constellation Brands,5,Distillers & Vintners,Victor, New York,2005,,,
Stanley Black & Decker,8,Industrial Machinery,New Britain, Connecticut,1982,,,
Skyworks Solutions,9,Semiconductors,Irvine, California,2015,,,
